Start_Layer,End_Layer,latency_ms
1_conv1_pad,144_conv5_block1_1_bn,229826.92
1_conv1_pad,145_conv5_block1_1_relu,229878.68
1_conv1_pad,146_conv5_block1_2_conv,232638.95
1_conv1_pad,147_conv5_block1_2_bn,232732.21
1_conv1_pad,148_conv5_block1_2_relu,232784.09
1_conv1_pad,149_conv5_block1_0_conv,233974.01
1_conv1_pad,150_conv5_block1_3_conv,234385.87
1_conv1_pad,151_conv5_block1_0_bn,234347.27
1_conv1_pad,152_conv5_block1_3_bn,234761.4
2_conv1_conv,3_conv1_bn,2760.27
2_conv1_conv,4_conv1_relu,4394.87
2_conv1_conv,5_pool1_pad,4809.51
2_conv1_conv,6_pool1_pool,6036.76
2_conv1_conv,7_conv2_block1_1_conv,6936.65
2_conv1_conv,8_conv2_block1_1_bn,7683.49
2_conv1_conv,9_conv2_block1_1_relu,16029.94
2_conv1_conv,10_conv2_block1_2_conv,16123.18
2_conv1_conv,11_conv2_block1_2_bn,16869.91
2_conv1_conv,12_conv2_block1_2_relu,17283.3
2_conv1_conv,13_conv2_block1_0_conv,6130.01
2_conv1_conv,14_conv2_block1_3_conv,20289.44
2_conv1_conv,15_conv2_block1_0_bn,8890.28
2_conv1_conv,16_conv2_block1_3_bn,23277.44
2_conv1_conv,17_conv2_block1_add,23690.28
2_conv1_conv,18_conv2_block1_out,25336.6
2_conv1_conv,19_conv2_block2_1_conv,28096.62
2_conv1_conv,20_conv2_block2_1_bn,30857.16
2_conv1_conv,21_conv2_block2_1_relu,31271.31
2_conv1_conv,22_conv2_block2_2_conv,31375.08
2_conv1_conv,23_conv2_block2_2_bn,34135.37
2_conv1_conv,24_conv2_block2_2_relu,37123.37
2_conv1_conv,25_conv2_block2_3_conv,40144.86
2_conv1_conv,26_conv2_block2_3_bn,43123.27
2_conv1_conv,27_conv2_block2_add,43536.11
2_conv1_conv,28_conv2_block2_out,45186.86
2_conv1_conv,29_conv2_block3_1_conv,45290.58
2_conv1_conv,30_conv2_block3_1_bn,45342.32
2_conv1_conv,31_conv2_block3_1_relu,45756.15
2_conv1_conv,32_conv2_block3_2_conv,45942.57
2_conv1_conv,33_conv2_block3_2_bn,48702.84
2_conv1_conv,34_conv2_block3_2_relu,49116.72
2_conv1_conv,35_conv2_block3_3_conv,52108.91
2_conv1_conv,36_conv2_block3_3_bn,55072.06
2_conv1_conv,37_conv2_block3_add,55484.91
2_conv1_conv,38_conv2_block3_out,58245.17
2_conv1_conv,39_conv3_block1_1_conv,60212.05
2_conv1_conv,40_conv3_block1_1_bn,60398.65
2_conv1_conv,41_conv3_block1_1_relu,61884.69
2_conv1_conv,42_conv3_block1_2_conv,68315.52
